"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5954202268455","24.3721534023546","22.5583380133912","19.1657911217937","20.9767625317265","24.0698997082462","23.2900128717578","24.728716383748","24.0537299986089","21.5954290827878","21.8664374531048","18.2664509566949","17.0456516424758","20.7407182684139","22.9553319818389","17.3667973291622","23.665647119709","24.5958785237159","24.4099502835266","28.8891100802491","22.3574915298517","26.1960245872629","23.7607052302795","24.1917994876421","27.1869812675175","27.8602166763907","28.1543193190165","","","","","","","",
"Afghanistan","AFG","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","65.4867256637168","59.7014925373134","52.6595744680851","55.440414507772","56.7685589519651","53.8181818181818","52.6845637583893","43.4285714285714","40.7185628742515","56.0311284046693","40.1315789473684","39.458413926499","40.9090909090909","42.9530201342282","40.1529636711281","41.2068965517241","44.4649446494465","40.7975460122699","43.2937181663837","52.0458265139116","52.5","51.2014787430684","47.2949389179756","48.4011627906977","40.0259067357513","44.0961337513062","36.2893815635939","64.5539906103286","63.5549872122762","67.2391017173051","62.5619932432432","62.7672627737226","64.8776923076923","65.7902941176471","66.006","66.006","66.1924576271187","66.006","65.6567619047619","60.3713414634146","64.7677922077922","60.6639506172839","40.0036363636364","45.9054074074074","49.6505309734513","52.5454268292683","58.5963917525773","50.8097033898305","64.0680865603645","82.4463833333333","67.7147289504037","62.0638254486134","64.7076363636364","56.2330787309048","48.3142509603073","59.3420650813517","47.0408119079838","","","","","","","",
"Africa Western and Central","AFW","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.6601370862889","47.8729768441312","52.1614982630706","49.213575280355","42.6750854973269","41.404593018518","42.5373797886988","46.1123491002627","42.9929851379654","43.4083171174317","47.3780814928358","49.6851639533274","49.9442966829804","46.9960782011364","44.1476266796052","46.5629335798633","44.7483097658636","45.219198507555","45.2287216173548","45.3544920033161","63.3634570840208","65.8156171620881","60.5182601274993","60.8210684333416","62.9789672689354","60.071330881602","62.6384461190034","","","","","","","",
"Angola","AGO","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","63.3333333333333","68.5483870967742","85.4037267080745","89.8089171974522","85.0299401197605","85.1851851851852","85.8490566037736","80.4428044280443","84.8684210526316","89.7368421052632","48.7205731832139","48.2795698924731","55.0040683482506","51.4650638617581","50.3386004514673","49.4186046511628","58.9285714285714","30.3941908713693","49.5257452574526","50.3664223850766","49.7256515775034","52.3611111111111","46.4511041009464","49.6057347670251","45.7540263543192","41.7316692667707","40.125885129819","50.3152585119798","37.1694067190851","34.8462664714495","39.1610110584518","34.9853139356815","35.9791993720565","43.0473913043478","19.4038565022421","78.1363543599258","61.7380105170903","28.416905370844","24.3176605101143","29.336","29.6739450282943","33.3466924864446","36.885389133627","37.9934591893393","26.119533437014","26.0173750686436","38.1663667649951","37.4973776074926","40.7785606060606","45.3276316758748","46.9010970907816","48.731517311609","57.1324661157025","53.1837903717245","81.6206641640196","48.580449374289","50.640016944366","","","","","","","",
"Albania","ALB","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","77.8985507246377","79.7427652733119","79.4642857142857","79.225352112676","76.1818181818182","74.7048903878583","74.4252873563218","71.5458276333789","71.1217183770883","68.4745762711865","66.307541625857","67.5652906486942","72.3846653671215","66.1122661122661","55.7805907172996","53.4716679968077","53.6296296296296","51.5384615384615","50.5928853754941","49.7825036249396","30.4255319148936","47.6523476523477","43.0506773707978","41.0379625180202","37.6757263355202","34.9930200093067","35.6395084205735","37.9310344827586","35.1851851851852","45.6326530612245","35.9426611570248","54.2466180048662","63.1902678571429","71.568502415459","75.0535514018692","91.0168205128205","89.1620812182741","95.3915540540541","90.4526666666667","93.9591582491582","89.766309148265","97.1413354037267","97.10216","94.7531386861314","87.7002797202797","96.2249631449632","87.5552839506173","80.1178672985782","91.1034052757794","79.1121296296296","76.302423580786","74.9406746031746","68.9363973799127","69.5887891440501","73.9722413793103","65.8902761341223","68.2076876267749","","","","","","","",
"Andorra","AND","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2773170731707","99.2773170731707","99.2773170731707","100.171707317073","99.2773170731707","98.9237209302326","101.046222222222","99.0870212765957","100.281224489796","100.662745098039","100.8425","100.8425","100.32358490566","101.015471698113","100.187678571429","99.2618965517241","99.3423636363636","99.8238888888889","99.8238888888889","99.4321153846154","99.4321153846154","100.281224489796","99.5328571428571","99.3145833333333","100.443913043478","99.0870212765957","99.8672340425532","","","","","","","",
"Arab World","ARB","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.9260019382074","65.5860347096459","68.4774333680866","72.0643612079279","68.6673020160808","63.8325086487398","61.0205816451093","58.0053002119617","59.9551503510928","60.422975407149","70.1858716327958","66.2206839332418","61.356213745783","66.3090251876941","68.1431181328394","62.1627805617949","62.3991894003755","56.4807834195589","58.0013982634624","60.1508493894955","58.2958263557105","55.738888139827","58.8821005134078","56.6701767494775","57.8265961239069","53.6105199651725","49.1476070948397","","","","","","","",
"United Arab Emirates","ARE","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","5.2","7.37463126843658","0.67893514382705","3.53535353535354","2.78691362298771","3.45528455284553","3.85490243026458","5.47816926138359","8.06089932727487","10.9497826690095","19.4573130377234","18.8364290974552","25.3330662125614","24.4435612082671","35.5686001392896","38.5181501740428","39.873417721519","34.8640531141322","35.4976129269188","35.2845275987889","34.0227587267415","37.8695981804397","35.8570563294973","31.8380324909747","28.3760211382114","34.5241532528504","44.2695108608206","41.8625450285547","30.400156938326","20.320626566416","18.3597618170657","22.8198044126416","17.8147976744186","55.1871788502484","36.3423852067318","10.5166510395434","27.9425895875592","26.6439325331879","26.1906045751634","26.1152231187222","25.6848720479915","22.4691786171575","26.9344159562285","17.4003451664415","17.9182954545455","41.1940175268878","36.6839429657795","39.8574815056571","21.6554076479076","26.238556101474","","","","","","","",
"Argentina","ARG","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","84.4501201923077","82.3672709034893","84.019668100799","81.2197979206326","81.1936566427584","80.4584812807575","76.9891973516088","75.9986572675394","76.1452306385689","78.3952959028831","77.3291374878114","78.0036282675023","76.9258927845115","75.7640729767659","74.8254163149413","72.6514215080346","72.078494781714","72.1931164956705","71.0825294748124","71.4863029580311","70.4178329342731","68.7138390771553","66.7990355977876","65.3248292206887","63.1691280250611","60.1283126161922","59.7346845420317","57.8624980060616","54.5674092857574","51.0726253484075","59.3316486378205","58.1873376376757","59.3244424778761","60.528784112402","59.0985976627713","55.2547078464107","52.1307395701644","52.5626374489475","52.2885507246377","53.7083374319994","50.6975051171253","51.0243653399535","48.9849016770239","46.2803053910876","47.8454959464223","49.1105330781848","52.7640162193474","47.6779471979466","52.7685988700565","52.3684120934959","53.6571910312835","49.0677947647523","47.9793048787319","49.3669875","48.6833944750153","49.2362093610619","48.1835999565878","","","","","","","",
"Armenia","ARM","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2977777777778","18.6260317460317","34.3948540145985","19.118547008547","14.2684824902724","11.7475748502994","11.7301729106628","18.8655948553055","22.1462078651685","21.5945555555556","26.2096474358974","26.7167142857143","24.4791755319149","22.0348878923767","20.4992650334076","17.7708461538462","18.1738840070299","21.140133037694","23.235599078341","19.0773076923077","15.7065559440559","15.5347454545455","15.6583576642336","15.3821722846442","16.3459960552268","","","","","","","",
"American Samoa","ASM","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","134.456666666667","121.677727272727","91.0427586206897","108.5432","107.0764","101.861111111111","104.771428571429","102.676","96.6754545454545","100.009090909091","104.453939393939","99.5328571428571","94.9658974358974","98.3829268292683","105.42625","104.643658536585","100.8425","102.038260869565","100.078541666667","36.67","107.016530612245","100.662745098039","72.8306944444444","111.570425531915","110.01","111.506734693878","111.4768","","","","","","","",
"Australia","AUS","CO2 emissions from liquid fuel consumption (% of total)","EN.ATM.CO2E.LF.ZS","31.5553153452792","32.1648316062176","33.6205231232856","35.3235817211716","36.6836030822033","39.6356250757851","39.0857839402712","40.1378684292644","41.6022009152321","43.2876217971851","46.241554054054","47.13647928568","45.3209770181852","48.0162985202659","44.5427854133867","44.3436744224835","42.1891112654418","41.5153290372974","40.3666727173716","38.8909750907498","37.2786471311339","37.2222222222222","36.3630668024121","34.2003618051142","34.435833849969","29.8340021889821","30.8409358333715","29.8363425495053","29.5892719230499","29.3416414738148","31.4115553869499","29.682599448453","30.0905526158891","32.1636668380085","31.4682735852442","30.0087253036227","31.3259891852198","29.1535883560974","26.6110986998718","26.7680870165746","26.8544623830465","23.3652191558442","25.4878789424467","27.1407380891503","26.043560653763","26.9048299098807","26.1693920972644","25.6995448529984","27.5614929214929","27.208870743132","29.6389404930941","30.9551948051948","31.7584234129144","32.5395852558863","32.4961949821564","31.1671104077453","30.9693220647984","","","","","","","",
